date;value
2022-04-23;11135
2022-04-23;13465
2022-04-26;31905
2022-04-28;2300
2022-04-30;350
2022-04-03;6540
2022-04-08;58905
2022-04-09;1660
2022-04-13;700
2022-04-15;6970
2022-04-18;3921
2022-04-21;50
2022-04-26;12038
2022-04-01;11690
2022-04-02;10116
2022-04-11;20488
2022-04-23;700
2022-04-28;29195
2022-04-29;1031
2022-04-01;0
2022-04-04;12060
2022-04-04;32005
2022-04-08;3412
2022-04-10;6559
2022-04-11;54640
2022-04-16;5412
2022-04-20;1400
2022-04-21;2700
2022-04-24;175
2022-04-26;0
2022-04-04;834
2022-04-07;8870
2022-04-10;1680
2022-04-11;19072
2022-04-15;0
2022-04-20;32290
2022-04-21;17285
2022-04-25;6500
2022-04-27;2000
2022-04-27;1400
2022-04-27;7530
2022-04-30;1210
2022-04-02;2000
2022-04-02;3075
2022-04-05;5325
2022-04-09;7260
2022-04-09;200
2022-04-12;17136
2022-04-16;1030
2022-04-18;7944
2022-04-20;6790
2022-04-24;10590
2022-04-25;29715
2022-04-03;1650
2022-04-10;1342
2022-04-11;12410
2022-04-16;1550
2022-04-19;28573
2022-04-20;50
2022-04-25;7776
2022-04-28;52
2022-04-29;6000
2022-04-05;9641
2022-04-06;7322
2022-04-07;9727
2022-04-07;0
2022-04-10;9800
2022-04-12;45785
2022-04-13;3553
2022-04-13;18240
2022-04-18;14160
2022-04-21;2250
2022-04-27;23195
2022-04-28;15900
2022-04-29;4511
2022-04-30;14885
2022-04-04;23309
2022-04-04;24
2022-04-14;2444
2022-04-14;50410
2022-04-15;500
2022-04-16;0
2022-04-18;40390
2022-04-19;1580
2022-04-19;26185
2022-04-21;2800
2023-04-12;0
2023-04-16;3075
2023-04-18;0
2023-04-24;0
2023-04-30;0
2023-04-01;0
2023-04-05;3250
2023-04-06;73285
2023-04-09;19415
2023-04-11;17865
2023-04-15;2520
2023-04-18;950
2023-04-21;0
2023-04-22;3060
2023-04-24;18082
2023-04-26;6360
